"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"128","com.tgs.tgh.dao","src/main/java/com/tgs/tgh/dao/DBBroker.java","3","84","OnlyOneReturn: A method should have only one exit point, and that should be the last statement in the method","Code Style","OnlyOneReturn"
"129","com.tgs.tgh.dao","src/main/java/com/tgs/tgh/dao/DBBroker.java","3","91","UnnecessaryLocalBeforeReturn: Consider simply returning the value vs storing it in local variable 'medico'","Code Style","UnnecessaryLocalBeforeReturn"
"130","com.tgs.tgh.dao","src/main/java/com/tgs/tgh/dao/DBBroker.java","3","91","UnnecessaryLocalBeforeReturn: Consider simply returning the value vs storing it in local variable 'medico'","Code Style","UnnecessaryLocalBeforeReturn"
"131","com.tgs.tgh.dao","src/main/java/com/tgs/tgh/dao/DBBroker.java","3","101","ControlStatementBraces: This statement should have braces","Code Style","ControlStatementBraces"
"132","com.tgs.tgh.dao","src/main/java/com/tgs/tgh/dao/DBBroker.java","3","101","ControlStatementBraces: This statement should have braces","Code Style","ControlStatementBraces"
"133","com.tgs.tgh.dao","src/main/java/com/tgs/tgh/dao/DBBroker.java","3","101","OnlyOneReturn: A method should have only one exit point, and that should be the last statement in the method","Code Style","OnlyOneReturn"
"134","com.tgs.tgh.dao","src/main/java/com/tgs/tgh/dao/DBBroker.java","3","101","OnlyOneReturn: A method should have only one exit point, and that should be the last statement in the method","Code Style","OnlyOneReturn"
"135","com.tgs.tgh.dao","src/main/java/com/tgs/tgh/dao/DBBroker.java","3","107","UnnecessaryLocalBeforeReturn: Consider simply returning the value vs storing it in local variable 'paciente'","Code Style","UnnecessaryLocalBeforeReturn"
"136","com.tgs.tgh.dao","src/main/java/com/tgs/tgh/dao/DBBroker.java","3","107","UnnecessaryLocalBeforeReturn: Consider simply returning the value vs storing it in local variable 'paciente'","Code Style","UnnecessaryLocalBeforeReturn"
"137","com.tgs.tgh.dao","src/main/java/com/tgs/tgh/dao/DBBroker.java","3","117","ControlStatementBraces: This statement should have braces","Code Style","ControlStatementBraces"
"138","com.tgs.tgh.dao","src/main/java/com/tgs/tgh/dao/DBBroker.java","3","117","ControlStatementBraces: This statement should have braces","Code Style","ControlStatementBraces"
"139","com.tgs.tgh.dao","src/main/java/com/tgs/tgh/dao/DBBroker.java","3","117","OnlyOneReturn: A method should have only one exit point, and that should be the last statement in the method","Code Style","OnlyOneReturn"
"140","com.tgs.tgh.dao","src/main/java/com/tgs/tgh/dao/DBBroker.java","3","117","OnlyOneReturn: A method should have only one exit point, and that should be the last statement in the method","Code Style","OnlyOneReturn"
"141","com.tgs.tgh.dao","src/main/java/com/tgs/tgh/dao/DBBroker.java","3","122","UnnecessaryLocalBeforeReturn: Consider simply returning the value vs storing it in local variable 'gestor'","Code Style","UnnecessaryLocalBeforeReturn"
"142","com.tgs.tgh.dao","src/main/java/com/tgs/tgh/dao/DBBroker.java","3","122","UnnecessaryLocalBeforeReturn: Consider simply returning the value vs storing it in local variable 'gestor'","Code Style","UnnecessaryLocalBeforeReturn"
"143","com.tgs.tgh.dao","src/main/java/com/tgs/tgh/dao/DBBroker.java","3","166","OnlyOneReturn: A method should have only one exit point, and that should be the last statement in the method","Code Style","OnlyOneReturn"
"144","com.tgs.tgh.dao","src/main/java/com/tgs/tgh/dao/DBBroker.java","3","166","OnlyOneReturn: A method should have only one exit point, and that should be the last statement in the method","Code Style","OnlyOneReturn"
"145","com.tgs.tgh.dao","src/main/java/com/tgs/tgh/dao/DBBroker.java","3","191","OnlyOneReturn: A method should have only one exit point, and that should be the last statement in the method","Code Style","OnlyOneReturn"
"146","com.tgs.tgh.dao","src/main/java/com/tgs/tgh/dao/DBBroker.java","3","191","OnlyOneReturn: A method should have only one exit point, and that should be the last statement in the method","Code Style","OnlyOneReturn"
"147","com.tgs.tgh.dao","src/main/java/com/tgs/tgh/dao/DBBroker.java","3","208","OnlyOneReturn: A method should have only one exit point, and that should be the last statement in the method","Code Style","OnlyOneReturn"
